         1748559 function calls (1652450 primitive calls) in 26.401 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  232/188    0.001    0.000    0.010    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\spines.py:332(get_spine_transform)
     2897    0.003    0.000    0.010    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\copy.py:66(copy)
        2    0.000    0.000    0.010    0.005 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:2282(__init__)
    20236    0.007    0.000    0.010    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\copy.py:241(_keep_alive)
       72    0.000    0.000    0.009    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\ticker.py:696(set_locs)
  232/188    0.000    0.000    0.009    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\spines.py:202(_ensure_position_is_set)
       12    0.000    0.000    0.009    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\spines.py:292(set_position)
       17    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap_external>:849(get_code)
       36    0.000    0.000    0.009    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:1494(get_majorticklocs)
     1056    0.001    0.000    0.009    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\font_manager.py:894(copy)
    24950    0.005    0.000    0.009    0.000 {built-in method builtins.getattr}
    65/55    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        4    0.000    0.000    0.009    0.002 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\offsetbox.py:396(get_window_extent)
      9/6    0.000    0.000    0.009    0.001 {built-in method builtins.__import__}
    12955    0.004    0.000    0.009    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\__init__.py:757(__getitem__)
      696    0.001    0.000    0.009    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:809(from_extents)
        2    0.007    0.003    0.008    0.004 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\genetics\NEAT.py:132(sort_species)
      112    0.001    0.000    0.008    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\artist.py:778(set_clip_path)
    18/10    0.000    0.000    0.008    0.001 {built-in method builtins.exec}
      580    0.000    0.000    0.008    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:800(from_bounds)
       78    0.008    0.000    0.008    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\genetics\breed_two_genomes.py:65(<dictcomp>)
    35486    0.005    0.000    0.007    0.000 {built-in method builtins.isinstance}
       28    0.000    0.000    0.007    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\offsetbox.py:54(get_offset)
        2    0.000    0.000    0.007    0.004 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\PIL\Image.py:348(preinit)
    10538    0.002    0.000    0.007    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\copy.py:262(<genexpr>)
       17    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:969(get_data)
       64    0.000    0.000    0.007    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\multiprocessing\reduction.py:58(dump)
     1232    0.001    0.000    0.007    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
1397/1317    0.001    0.000    0.007    0.000 C:\Users\light\AppData\Local\Programs\Python\Python38\lib\contextlib.py:108(__enter__)
   111872    0.007    0.000    0.007    0.000 {built-in method builtins.id}
       28    0.000    0.000    0.007    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\offsetbox.py:298(get_offset)
      146    0.000    0.000    0.007    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\patches.py:262(get_transform)
     2451    0.004    0.000    0.007    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\font_manager.py:633(__hash__)
        8    0.000    0.000    0.007    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\legend.py:691(_findoffset)
     3516    0.007    0.000    0.007    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        8    0.000    0.000    0.007    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\legend.py:1114(_find_best_position)
       42    0.000    0.000    0.006    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:237(set_clip_path)
       72    0.000    0.000    0.006    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\ticker.py:215(format_ticks)
      328    0.001    0.000    0.006    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\transforms.py:1475(transform)
        2    0.000    0.000    0.006    0.003 .\main.py:37(collect_fitnesses)
     2489    0.001    0.000    0.006    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\artist.py:417(pchanged)
